Work Order Number,Creation Date,Start Date,End Date,Duration Actual(Hrs),Status Date,Task Code,Task Text,Resource Type,Resource Type Text,Resource,Resource Text,Unit Cost,Units,Total Cost,Default Unit Cost,Grand Total Units,Unit Cost-Regular Time,Unit Cost-Overtime,Override Unit Cost,Grand Total Cost,Time Cost,Time Cost Text,Unit of Measure,Unit of Measure Text,Additional Description
18-001287,9/28/2018,9/27/2018,9/27/2018,0,9/28/2018,STT99,Replace,3,Material,BOUGHT,Bought Material,0,0,0,0,0,0,0,,0,,,,,.5 tons C 6
18-000190,6/29/2018,6/28/2018,6/28/2018,0,12/14/2018,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,0.36,36,12.96,0,36,0,0,0.36,12.96,,,FT,Feet,#12 AWG USE-2 Copper Stranded Wire
18-000172,6/29/2018,6/28/2018,6/28/2018,0,6/29/2018,STT9,Pole Replacement,3,Material,BOUGHT,Bought Material,0.36,36,12.96,0,36,0,0,0.36,12.96,,,FT,Feet,#12 standed copper XLP/USE WIRE
18-002159,12/24/2018,12/20/2018,12/20/2018,0,1/22/2019,STT7,Fault Repair,3,Material,BOUGHT,Bought Material,0,100,0,0,100,0,0,,0,,,FT,Feet,#6 AWG 5KV wire
18-001278,9/27/2018,9/26/2018,9/26/2018,0,4/10/2019,STT12,Streetlight Cable Replacement,3,Material,BOUGHT,Bought Material,0,0,0,0,0,0,0,,0,,,,,#6 THHN wire ft
18-001287,9/28/2018,9/27/2018,9/27/2018,0,9/28/2018,STT99,Replace,3,Material,BOUGHT,Bought Material,0,0,0,0,0,0,0,,0,,,,,1.5 tons black dirt
19-000034,1/4/2019,,,0,1/4/2019,PKGT12,reinstall post and meter,3,Material,HAR2,MISCELLANEOUS HARDWARE,1,1,1,1,1,0,0,,1,,,2,Each,1/2 50lb sack of quickecrete
18-000737,8/15/2018,8/15/2018,8/15/2018,0,12/17/2018,STT44,Equipment Maintenance,3,Material,BOUGHT,Bought Material,3.57,4,14.28,0,4,0,0,3.57,14.28,,,2,Each,1/4-20 screw thread cutting tap
19-000551,3/29/2019,3/28/2019,3/28/2019,0,4/2/2019,STT58,General Sign Shop Work,3,Material,"12"" x 18""","12"" x 18""",5,8,40,5,8,0,0,,40,,,2,Each,10 x 12
19-000048,1/8/2019,1/7/2019,1/7/2019,0,1/22/2019,STT6,Luminaire Rebuild,3,Material,BOUGHT,Bought Material,0,2,0,0,2,0,0,,0,,,,,100 Watt HPS ballast kit
