Work Order Number,Status,Status Text,Category Code,Category Text,Division,Division Text,Department,Department Text,Priority,Priority Text,Total Cost,Quantity,Actual Labor Hours,Actual Labor Cost,Actual Equip Cost,Actual Material Cost,Contractor Cost,Misc. Cost,Creation Date,Status Date,Start Date,End Date,Duration Actual(Hrs),Billing Required,Main Task,Main Task Text,Cause,Cause Text,Problem,Problem Text,Desc 1,Desc 2,Asset,Assigned Crew,Assigned Crew Text,Supervisor,LeadWorker Id,Street Address,Street Direction,Street Name,Street Type,Loc Zip Code,Street 2 Direction,Street 2 Name,Street 2 Type,Project Number,Building Number,Facility Location,Route (Geographic),Route (Geographic) Text,PM Trigger,PM Trigger Text
19-000003,999,Complete,STMOT,Streets Other Tasks,OPST,Streets,,,,,384.87,0,11,384.87,0,0,0,0,1/2/2019 0:00,1/3/2019 0:00,1/2/2019 0:00,1/2/2019 0:00,0,FALSE,ST24,Equipment Maintenance,,,,,,,,,,,,,,,,,,,,,,,10,Campus,,
18-002205,999,Complete,STM60,Streets,OPST,Streets,STR,Streets,,,1954.56,0,32,907.52,837.04,210,0,0,12/28/2018 0:00,12/28/2018 0:00,12/21/2018 0:00,12/21/2018 0:00,0,FALSE,ST13,Pothole Patching,STC1,Systematic Maintenance,STP1,Normal Pavement Age & Wear Deterioration,,,,,,,,,,,,,,,,,,,8,Central Business District,,
19-000238,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,2852.1,0,16,775,670.24,1406.86,0,0,2/8/2019 0:00,2/8/2019 0:00,1/17/2019 0:00,1/17/2019 0:00,0,FALSE,ST36,Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
19-000213,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,5280.76,0,40,1657.2,1675.6,1947.96,0,0,2/7/2019 0:00,2/7/2019 0:00,11/12/2018 0:00,11/12/2018 0:00,0,FALSE,ST36,Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
19-000230,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,63732.9,0,564,26091.86,20520.68,17120.36,0,0,2/8/2019 0:00,2/8/2019 0:00,1/11/2019 0:00,1/13/2019 0:00,16,FALSE,ST37,Plowing and Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
19-000214,999,Complete,STWW,Winter Weather,OPST,Streets,,,,,19994.1,0,158,5891.03,6690,7413.07,0,0,2/7/2019 0:00,2/7/2019 0:00,11/15/2018 0:00,11/15/2018 0:00,0,FALSE,ST37,Plowing and Salting Streets,STC9,Winter Event Snow,STP26,Winter Weather Response,,,,EE Crew,Emergency Crew,,,,,,,,,,,,,,1,City Wide,,
18-000160,999,Complete,STTCON,Controllers,OPSTT,Traffic,STT,Traffic,,,211.79,0,3.5,166.53,45.26,0,0,0,6/28/2018 0:00,12/14/2018 0:00,6/28/2018 0:00,6/28/2018 0:00,0,FALSE,STT25,Record Keeping,STTC1,Systematic Maintenance,STTP30,Check/Inspect Operation,,Lincoln@Fairview,TRAFFICTROLLER1,,,1,,,,Lincoln@Fairview,,,,Fairview,,,,,1,City Wide,,
19-000173,999,Complete,STMOT,Streets Other Tasks,OPST,Streets,STR,Streets,,,5749.79,0,140,3970.39,1779.4,0,0,0,2/5/2019 0:00,2/5/2019 0:00,1/7/2019 0:00,1/11/2019 0:00,32,FALSE,ST31,Debris Removal,,,,,,,,,,,,,,,,,,,,,,,1,City Wide,,
18-002202,999,Complete,STM60,Streets,OPST,Streets,STR,Streets,,,1341.72,0,24,671.8,459.92,210,0,0,12/28/2018 0:00,12/28/2018 0:00,12/20/2018 0:00,12/20/2018 0:00,0,FALSE,ST13,Pothole Patching,STC1,Systematic Maintenance,STP1,Normal Pavement Age & Wear Deterioration,,,,,,,,,,,,,,,,,,,5,Primary 4,,
19-001189,999,Complete,ARBFRT,Trees,FRT,Forestry,FOR,Forestry,2,Medium,1536.27,2,26,873.42,554.85,108,0,0,8/6/2019 0:00,8/6/2019 0:00,7/10/2019 0:00,7/10/2019 0:00,0,TRUE,FORT20,Tree Removal,,,FORT60,Storm Damage,,2409  Vine St S,TREESITES10760,,,,,210,E,McHenry,St,,,,,,,,12,Residential 1,,
