Requisition Number,Recorded by,Received Date,Received Time,Status,Status Text,Status Date,Status Time,Priority,Priority Text,Category,Category Text,Problem,Problem Text,Department,Department Text,Division,Division Text,Related Asset Type,After Hours,Call Back Requested,Billing Flag,Projected Start Date,Facility Building,Facility Building Text,Location,Location Text,Primary Residence,Street Number,Street Direction,Street Name,Street Type,Street Suffix,Street 2 Direction,Street 2 Name,Street 2 Type,Other Location Information
19-000617,Person 1,9/12/2019 0:00,1/1/1900 16:04,1,New Request,9/12/2019 0:00,1/1/1900 16:04,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1702,,Eagle Ridge,Rd,,,,,
19-000616,Person 1,9/11/2019 0:00,1/1/1900 15:59,1,New Request,9/11/2019 0:00,1/1/1900 15:59,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT, ,Tree,FALSE,,FALSE,,,,,,FALSE,,,Silver,St,,,Silver,Ct,
19-000612,PublicWebUser,9/9/2019 0:00,1/1/1900 17:43,1,New Request,9/9/2019 0:00,1/1/1900 17:43,,,ARBFRT,Trees,EX07,Trees,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2502,S,Vine,St,,,,,
19-000609,Person 15,9/4/2019 0:00,1/1/1900 8:44,999,Completed,9/4/2019 0:00,1/1/1900 12:28,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1818,,Larch,Pl,,,,,
19-000607,Person 3,9/3/2019 0:00,1/1/1900 13:10,999,Completed,9/12/2019 0:00,1/1/1900 13:50,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,512,W,Oregon,St,,S,Orchard,St,
19-000602,Person 3,8/30/2019 0:00,1/1/1900 7:33,999,Completed,9/4/2019 0:00,1/1/1900 11:28,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,402,S,Lynn,St,,,,,
19-000600,Person 1,8/29/2019 0:00,1/1/1900 8:56,999,Completed,9/3/2019 0:00,1/1/1900 7:04,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,FALSE,203,W,Delaware,Ave,,,,,
19-000599,Person 1,8/29/2019 0:00,1/1/1900 8:54,999,Completed,9/9/2019 0:00,1/1/1900 5:46,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,FALSE,2309,,Brookens,Cir,,,,,
19-000595,Person 15,8/28/2019 0:00,1/1/1900 13:10,999,Completed,9/9/2019 0:00,1/1/1900 5:44,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,E,McHenry,St,,,Grange,Dr,
19-000592,Person 1,8/28/2019 0:00,1/1/1900 8:01,999,Completed,8/29/2019 0:00,1/1/1900 11:42,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,612,W,Washington,St,,,,,
19-000590,Person 15,8/27/2019 0:00,1/1/1900 13:10,999,Completed,8/29/2019 0:00,1/1/1900 11:52,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,306,W,Vermont,Ave,,,,,
19-000583,Person 3,8/23/2019 0:00,1/1/1900 14:57,1,New Request,8/23/2019 0:00,1/1/1900 14:57,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,210,W,Iowa,St,,,,,
19-000582,Person 3,8/23/2019 0:00,1/1/1900 13:53,999,Completed,8/26/2019 0:00,1/1/1900 12:00,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,710,,Indiana,Ave,,,,,
19-000579,Person 15,8/23/2019 0:00,1/1/1900 8:41,1,New Request,8/23/2019 0:00,1/1/1900 8:41,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,907,S,Cottage Grove,Ave,,,,,
19-000578,Person 1,8/23/2019 0:00,1/1/1900 7:45,2,Assigned to WO,9/12/2019 0:00,1/1/1900 13:53,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,707,S,Lynn,St,,,,,
19-000576,Person 15,8/22/2019 0:00,1/1/1900 12:25,999,Completed,8/23/2019 0:00,1/1/1900 11:25,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1104,S,Country Squire,Dr,,,,,
19-000574,Person 3,8/21/2019 0:00,1/1/1900 15:11,999,Completed,8/22/2019 0:00,1/1/1900 11:46,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,TRUE,107,W,Holmes,St,,,,,
19-000573,Person 1,8/21/2019 0:00,1/1/1900 9:06,999,Completed,8/21/2019 0:00,1/1/1900 11:39,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,701,E,Elm,St,,,Anderson,St,
19-000572,Person 15,8/21/2019 0:00,1/1/1900 8:58,999,Completed,8/21/2019 0:00,1/1/1900 11:34,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,6,,Burnett,Cir,,,,,
19-000571,Person 1,8/20/2019 0:00,1/1/1900 11:41,999,Completed,8/21/2019 0:00,1/1/1900 6:25,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,,Scovill,St,,,Provine,Cir,
19-000569,Person 15,8/19/2019 0:00,1/1/1900 10:25,999,Completed,8/19/2019 0:00,1/1/1900 11:39,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,3109,,Chatham,Dr,,,,,Unit A
19-000568,Person 15,8/16/2019 0:00,1/1/1900 16:38,999,Completed,8/19/2019 0:00,1/1/1900 11:23,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1,,Buena Vista,Ct,,,,,
19-000567,Person 1,8/16/2019 0:00,1/1/1900 11:05,999,Completed,8/19/2019 0:00,1/1/1900 7:57,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,604,,Eliot,Dr,,,Anderson,St,
19-000566,Person 3,8/15/2019 0:00,1/1/1900 13:50,999,Completed,8/19/2019 0:00,1/1/1900 11:24,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1604,,Rutledge,Dr,,,,,
19-000558,Person 3,8/12/2019 0:00,1/1/1900 7:24,2,Assigned to WO,8/13/2019 0:00,1/1/1900 10:14,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,Yes,FALSE,,,,,,TRUE,409,,Burkwood,Ct,West,,,,between cul de sacs
19-000556,Person 15,8/9/2019 0:00,1/1/1900 14:02,999,Completed,8/12/2019 0:00,1/1/1900 5:41,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,yes,FALSE,,,,,,FALSE,701,E,Elm,St,,,,,
19-000555,Person 15,8/9/2019 0:00,1/1/1900 12:31,999,Completed,8/12/2019 0:00,1/1/1900 5:42,,,ARBFRT,Trees,FORT60,Storm Damage,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2024,,Cureton,Dr,,E,Mumford,Dr,
19-000550,Person 15,8/7/2019 0:00,1/1/1900 10:06,999,Completed,8/9/2019 0:00,1/1/1900 5:21,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,yes,FALSE,,,,,,FALSE,205,S,Poplar,St,,,,,
19-000546,Person 15,8/5/2019 0:00,1/1/1900 8:35,999,Completed,8/5/2019 0:00,1/1/1900 13:12,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,yes,FALSE,,,,,,FALSE,404,W,Delaware,Ave,,,,,
19-000545,Person 15,8/2/2019 0:00,1/1/1900 15:57,999,Completed,8/5/2019 0:00,1/1/1900 12:50,,,ARBFRT,Trees,FORT110,Traffic Clearance,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,,S,Cottage Grove,Ave,,,,,
19-000544,Person 1,8/2/2019 0:00,1/1/1900 10:45,999,Completed,8/5/2019 0:00,1/1/1900 6:32,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,2306,,Anderson,St,,,,,
19-000536,Person 1,7/30/2019 0:00,1/1/1900 9:25,2,Assigned to WO,8/7/2019 0:00,1/1/1900 10:23,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,1719,,Briarcliff,Dr,,,,,
19-000534,Person 1,7/26/2019 0:00,1/1/1900 10:19,2,Assigned to WO,8/22/2019 0:00,1/1/1900 11:49,,,ARBFRT,Trees,FORT210,resident concern,FOR,Forestry,FRT,Forestry,Tree,FALSE,,FALSE,,,,,,FALSE,901,,Silver,St,,,,,
19-000532,Person 1,7/23/2019 0:00,1/1/1900 15:21,1,New Request,7/23/2019 0:00,1/1/1900 15:21,,,ARBFRT,Trees,FORT300,disease infestation,FOR,Forestry,FRT,Forestry,Tree,FALSE,YES,FALSE,,,,,,FALSE,2702,,Myra Ridge,Dr,,,,,
